"Cyberincidentnum","Dyadpair","StateA","StateB","Name","interactionstartdate","interactionenddate","method","targettype","initiator","cyber_objective","information_operation","objective_achievement","Concession","3rdpartyinitiator","severity","damage type","Crit Inf","Supply Ch","Ransomware","Political Objective","Sources1","Sources2","Sources3","Sources4","Sources5","Justice","Cert","FBI"
298,710713,"China","Taiwan","GhostNet_B",2007-05-27,2009-08-01,3,2,710,2,0,1,0,0,4,1,11,0,0,"Data breach of networks containing state secretive information","https://www.telegraph.co.uk/news/worldnews/asia/china/5071124/Chinas-global-cyber-espionage-network-GhostNet-penetrates-103-countries.html","https://ora.ox.ac.uk/objects/uuid:6d1260fd-b8ee-4a11-8a5f-e7708d543651/download_file?file_format=application/pdf&safe_filename=Gh0stNet.pdf&type_of_work=Report",NA,NA,NA,NA,NA,NA
299,710713,"China","Taiwan","Shady RAT_B",2007-09-01,2010-01-01,3,2,710,2,0,1,0,0,4,1,11,1,0,"Targeted data theft campaigns that included the Taiwanese government and several corporations","https://www.symantec.com/connect/blogs/truth-behind-shady-rat","https://arstechnica.com/information-technology/2011/08/operation-shady-rat-five-year-hack-attack-hit-14-countries/",NA,NA,NA,NA,NA,NA
300,710713,"China","Taiwan","Hikit_B",2008-09-01,2014-10-27,3,2,710,2,0,1,0,0,4,2,11,1,0,"Axiom  group launches 6-year data theft campaign against multiple countries including US, Taiwan, and Japan","https://www.fireeye.com/blog/threat-research/2012/08/hikit-rootkit-advanced-persistent-attack-techniques-part-1.html","https://www.fireeye.com/blog/threat-research/2012/08/hikit-rootkit-advanced-persistent-attack-techniques-part-2.html",NA,NA,NA,NA,NA,NA
301,710713,"China","Taiwan","TooHash",2013-09-01,2014-11-03,3,2,713,2,0,1,0,0,3,2,3,1,0,"Taiwanese data theft campaign on the Chinese mainland, targeting telecom and space research organizations","https://countuponsecurity.com/2014/11/17/2014-campaigns-of-cyber-espionage/","https://www.globalsecuritymag.com/G-DATA-Operation-TooHash-Asian","20141105","48558.html","https://www.gdatasoftware.com/blog/2014/10/23940-operation-toohash-how-targeted-attacks-work",NA,NA,NA
312,710740,"China","Japan","Hikit_C",2008-09-01,2014-10-27,3,2,710,2,0,1,0,0,4,2,11,1,0,"Axiom group launches 6-year data theft campaign against multiple countries including US, Taiwan, and Japan","https://www.fireeye.com/blog/threat-research/2012/08/hikit-rootkit-advanced-persistent-attack-techniques-part-1.html","https://www.fireeye.com/blog/threat-research/2012/08/hikit-rootkit-advanced-persistent-attack-techniques-part-2.html",NA,NA,NA,NA,NA,NA
313,710740,"China","Japan","Icefog hack",2011-09-01,2013-09-23,3,2,710,2,0,0,0,0,3,2,6,1,0,"Chinese malware detected in several Japanese defense industry companies, Mitsubishi","https://www.reuters.com/article/us-mitsubishiheavy-computer/japans-defense-industry-hit-by-its-first-cyber-attack-idUSTRE78I0EL20110919","https://www.bbc.com/news/world-asia-pacific-14982906","https://d2538mqrb7brka.cloudfront.net/wp-content/uploads/sites/43/2018/03/20133739/icefog.pdf",NA,NA,NA,NA,NA
314,710740,"China","Japan","Parliament Hack",2011-10-25,2011-11-02,3,2,710,2,0,1,0,0,3,2,11,0,0,"Theft of sensitive information from the Japanese parliament like passwords, user ID codes","https://www.telegraph.co.uk/news/worldnews/asia/japan/8848100/Japan-parliament-hit-by-China-based-cyber-attack.html",NA,NA,NA,NA,NA,NA,NA
315,710740,"China","Japan","Senkaku Island Dispute",2012-09-14,2012-09-17,2,2,710,4,1,0,0,0,2,1,11,0,0,"Response to Japanese authorities over the capture of Chinese fisherman. Chinese claim of Sekaku Islands in E China Sea","https://d2538mqrb7brka.cloudfront.net/wp-content/uploads/sites/43/2018/03/20133739/icefog.pdf","https://freebeacon.com/politics/cyber-blitz/","https://freebeacon.com/politics/cyber-blitz/",NA,NA,NA,NA,NA
316,710740,"China","Japan","Blue Termite",2014-08-11,2015-08-06,3,2,710,1,0,1,0,0,3,2,9,1,0,"Japanese pension database hacked, other govt networks","https://www.securityweek.com/blue-termite-apt-targets-japanese-organizations",NA,NA,NA,NA,NA,NA,NA
323,710750,"China","India","GhostNet_C",2007-05-27,2009-08-01,3,2,710,2,0,1,0,0,3,2,11,1,0,"Data breach of state secretive information from several government networks","https://www.telegraph.co.uk/news/worldnews/asia/china/5071124/Chinas-global-cyber-espionage-network-GhostNet-penetrates-103-countries.html","https://ora.ox.ac.uk/objects/uuid:6d1260fd-b8ee-4a11-8a5f-e7708d543651/download_file?file_format=application/pdf&safe_filename=Gh0stNet.pdf&type_of_work=Report",NA,NA,NA,NA,NA,NA
324,710750,"China","India","Shady RAT_C",2007-07-01,2010-01-01,3,2,710,2,0,1,0,0,3,2,11,1,0,"Multiple targeted data breaches that included the Indian government and several corporations","https://www.symantec.com/connect/blogs/truth-behind-shady-rat","https://arstechnica.com/information-technology/2011/08/operation-shady-rat-five-year-hack-attack-hit-14-countries/",NA,NA,NA,NA,NA,NA
325,710750,"China","India","Territory attack_A",2009-02-17,2015-05-30,3,2,710,3,0,1,0,0,3,2,11,0,0,"APT30 group disrupts, corrupts, and steals infor from governments in dispute with SCS territoriality","https://www.fireeye.com/blog/threat-research/2015/04/apt_30_and_the_mecha.html","https://techcrunch.com/2015/04/12/fireeye-apt-30-southeast-asia-india-report/",NA,NA,NA,NA,NA,NA
326,710750,"China","India","Prime Minister's office hacked and info stolen",2009-12-15,2009-12-15,3,2,710,2,0,1,0,0,3,2,11,0,0,"To access and to control the computer of the PM remotely and to download and delete files.","http://www.indiandefencereview.com/spotlights/chinas-cyber-capabilities/","https://www.indiatoday.in/magazine/special-report/story/20121105-cyberspace-china-india-760345-1999-11-30",NA,NA,NA,NA,NA,NA
327,710750,"China","India","Indian MoD hack",2010-04-02,2010-04-07,4.2,3,710,2,0,1,0,0,3,1,11,0,0,"Data breach of  government networks, namely the Headquarters of the Indian Army's Eastern Sector formations.","https://www.scribd.com/doc/29493199/Shadows-in-the-Cloud-20100406","https://www.indiastrategic.in/topstories570.htm",NA,NA,NA,NA,NA,NA
328,710750,"China","India","Mofang",2012-02-04,2016-06-16,3,1,710,3,0,1,0,0,3,2,8,1,0,"Mofang RAT targets and steals information from energy companies","https://foxitsecurity.files.wordpress.com/2016/06/fox-it_mofang_threatreport_tlp-white.pdf","https://www.securityweek.com/chinese-attackers-conduct-cyberespionage-economic-gain",NA,NA,NA,NA,NA,NA
329,710750,"China","India","Nidiran",2014-04-01,2016-06-01,3,3,710,3,0,1,0,0,3,2,13,1,0,"Suckfly APT group targeting Indian military and defense contractor networks","https://exchange.xforce.ibmcloud.com/collection/Suckfly-APT-aa8af56fd12d25c98fc49ca5341160ab",NA,NA,NA,NA,NA,NA,NA
334,710816,"China","Vietnam","Shady RAT_D",2007-03-01,2010-01-01,3,2,710,2,0,1,0,1,3,2,11,1,0,"Multiple data breaches of government and several corparations","https://www.symantec.com/connect/blogs/truth-behind-shady-rat","https://arstechnica.com/information-technology/2011/08/operation-shady-rat-five-year-hack-attack-hit-14-countries/",NA,NA,NA,NA,NA,NA
335,710816,"China","Vietnam","Territory attack_B",2009-02-17,2015-05-30,3,2,710,3,0,1,0,0,3,2,11,0,0,"APT30 group steals infor from governments in dispute with SCS territoriality","https://www.fireeye.com/blog/threat-research/2015/04/apt_30_and_the_mecha.html","https://techcrunch.com/2015/04/12/fireeye-apt-30-southeast-asia-india-report/",NA,NA,NA,NA,NA,NA
336,710816,"China","Vietnam","Spratly Island dispute",2011-06-03,2011-06-06,4.2,2,710,1,1,1,0,1,3,1,11,0,0,"Chinese territorial claim cyber action after the dispute over the Spratly/Nansha Islands","https://www.bbc.com/news/world-asia-pacific-13707921",NA,NA,NA,NA,NA,NA,NA
345,710840,"China","Philippines","Territory attack_C",2009-02-17,2015-05-30,3,2,710,3,0,1,0,0,3,2,11,0,0,"APT30 group steals infor from governments in dispute with SCS territoriality","https://www.fireeye.com/blog/threat-research/2015/04/apt_30_and_the_mecha.html","https://techcrunch.com/2015/04/12/fireeye-apt-30-southeast-asia-india-report/",NA,NA,NA,NA,NA,NA
346,710840,"China","Philippines","Hellsing disrutions",2009-02-17,2015-05-30,3,2,710,1,0,1,0,0,4,1,17,0,0,"Hellsing APT group launches widespread disruptions and corruption of data over SCS disputes","https://securityaffairs.co/wordpress/36002/cyber-crime/hellsing-apt-on-apt-attack.html",NA,NA,NA,NA,NA,NA,NA
347,710840,"China","Philippines","Philippines hack",2009-03-28,2009-03-30,3,2,710,2,0,1,0,0,3,3,11,0,0,"To steal secretive infomration from the Philippines government","http://www.cnn.com/2009/TECH/03/30/ghostnet.cyber.espionage/index.html","https://www.philstar.com/headlines/2009/03/31/453431/doj-alarmed-over-reported-hacking-dfa-computers",NA,NA,NA,NA,NA,NA
356,731732,"N Korea","S Korea","Third Army Command breach",2007-03-05,2008-09-02,4.2,3,731,3,0,1,0,0,1,1,1,1,0,"NK steals secret toxic chemical data","http://www.keia.org/sites/default/files/publications/kei_aps_mansourov_final.pdf",NA,NA,NA,NA,NA,NA,NA
357,731732,"N Korea","S Korea","Dark Hotel_A",2008-01-01,2014-11-09,4.2,2,732,2,0,1,0,0,4,2,11,1,0,"Information theft from South Korea that targeted executives working in the nuclear industry","https://attack.mitre.org/groups/G0012/","https://www.wired.com/2014/11/darkhotel-malware/","https://www.trendmicro.com/vinfo/pl/security/news/cybercrime-and-digital-threats/darkhotel-malware-emphasizes-the-importance-of-using-secure-networks-while-travelling",NA,NA,NA,NA,NA
361,731732,"N Korea","S Korea","Anti-Kim",2011-01-04,2011-01-10,1,2,732,1,1,1,0,0,2,1,11,0,0,"Disruptive action on the birthday of Kim Jong-Un","http://www.washingtonpost.com/wp-dyn/content/article/2011/01/08/AR2011010801155.html",NA,NA,NA,NA,NA,NA,NA
363,731732,"N Korea","S Korea","March DDoS 2",2011-03-07,2011-03-08,2,1,731,1,0,1,0,0,2,1,11,0,0,"Disruptive event during the US-S. Korea joint military training drills.","https://www.bbc.com/news/technology-12646052",NA,NA,NA,NA,NA,NA,NA
364,731732,"N Korea","S Korea","Bank shut down",2011-04-03,2011-04-03,4.2,1,731,4,0,1,0,0,2,1,9,1,0,"Data breaches on SK private networks on Kim Il Sung's birthday","https://www.bbc.com/news/world-asia-pacific-13263888",NA,NA,NA,NA,NA,NA,NA
365,731732,"N Korea","S Korea","June DDoS",2011-06-07,2011-06-07,2,1,731,1,0,1,0,0,2,1,9,1,0,"DDoS on government networks in advance of general and Presidential election.","https://www.washingtonpost.com/world/national-security/suspected-north-korean-cyber-attack-on-a-bank-raises-fears-for-s-korea-allies/2011/08/07/gIQAvWwIoJ_story.html?utm_term=.fdd5a2f6b760",NA,NA,NA,NA,NA,NA,NA
366,731732,"N Korea","S Korea","December defacement",2011-12-07,2011-12-07,1,2,731,1,1,1,0,1,2,1,2,0,0,"Disruptive events at the resumption of US-S. Korea nuclear energy talks on the 5th of December.","https://thenextweb.com/asia/2011/12/19/s-korea-issues-cyber-threat-warning-following-death-of-kim-jong-il/","https://www.nytimes.com/2017/10/15/world/asia/north-korea-hacking-cyber-sony.html",NA,NA,NA,NA,NA,NA
367,731732,"N Korea","S Korea","Telecom shut down",2011-12-20,2011-12-20,3,1,731,1,0,1,0,0,2,1,2,0,0,"Data breaches on the SK private sector during the mourning period of Kim Jung Il's death","https://thenextweb.com/asia/2011/12/19/s-korea-issues-cyber-threat-warning-following-death-of-kim-jong-il/","https://www.nytimes.com/2017/10/15/world/asia/north-korea-hacking-cyber-sony.html",NA,NA,NA,NA,NA,NA
368,731732,"N Korea","S Korea","Dark Seoul",2013-01-26,2013-03-20,3,1,731,2,0,1,0,0,3,2,9,1,0,"Espionage portion of Operation Troy, RAT installed in SK media and bank networks","https://threatpost.com/tag/dark-seoul-apt/","https://www.darkreading.com/attacks-breaches/north-korean-apt-group-employed-rare-zero-day-attack/d/d-id/1331011",NA,NA,NA,NA,NA,NA
369,731732,"N Korea","S Korea","Operation Troy",2013-03-20,2013-03-20,4.1,1,731,4,0,1,0,0,4,1,9,0,0,"Wiper malware erases or corrupts data in SK banks and media networks","https://www.helpnetsecurity.com/2013/07/08/dissecting-operation-troy-cyberespionage-in-south-korea/","https://securingtomorrow.mcafee.com/other-blogs/executive-perspectives/operation-troy-openioc-release/",NA,NA,NA,NA,NA,NA
370,731732,"N Korea","S Korea","OpTroy Defense Contractor breach",2013-04-04,2016-02-15,4.2,3,731,3,0,1,0,0,4,2,9,0,0,"Operation Troy targets defense contractors, including blueprint for F-15","https://www.helpnetsecurity.com/2013/07/08/dissecting-operation-troy-cyberespionage-in-south-korea/","https://securingtomorrow.mcafee.com/other-blogs/executive-perspectives/operation-troy-openioc-release/",NA,NA,NA,NA,NA,NA
371,731732,"N Korea","S Korea","OnionDog",2013-10-20,2016-03-09,3,1,731,3,0,1,0,0,3,2,8,0,0,"SK energy and transportation sectors breached by Lazaraus Group-type code","https://www.prnewswire.com/news-releases/onion-dog-a-3-year-old-apt-focused-on-the-energy-and-transportation-industries-in-korean-language-countries-is-exposed-by-360-300232441.html","https://www.360.net/assets/doc/apt_report/en/OPERATION%20ONIONDOG%20%E2%80%93Disclosing%20Targeted%20Attacks%20on%20Government.pdf",NA,NA,NA,NA,NA,NA
372,731732,"N Korea","S Korea","OD disrupt",2013-10-20,2016-03-09,2,1,731,1,1,1,0,0,4,1,15,0,0,"Intermittent disrutptions of SK energy and transportation sectors","https://www.prnewswire.com/news-releases/onion-dog-a-3-year-old-apt-focused-on-the-energy-and-transportation-industries-in-korean-language-countries-is-exposed-by-360-300232441.html","https://www.360.net/assets/doc/apt_report/en/OPERATION%20ONIONDOG%20%E2%80%93Disclosing%20Targeted%20Attacks%20on%20Government.pdf",NA,NA,NA,NA,NA,NA
