Cyberincidentnum,Dyadpair,StateA,StateB,Name,interactionstartdate,interactionenddate,method,targettype,initiator,cyber_objective,information_operation,objective_achievement,Concession,3rdpartyinitiator,severity,damage type,Crit Inf,Supply Ch,Ransomware,Political Objective,Sources1,Sources2,Sources3,Sources4,Sources5,Justice,Cert,FBI,exclusion_reason
62,2630,US,Iran,Univeristy hacks,2013-12-20T00:00:00Z,2018-03-25T00:00:00Z,3,1,630,3,0,1,0,0,3,2,17,0,0,Iran targets 144 US universities to steal technology and research,https://www.justice.gov/usao-sdny/pr/nine-iranians-charged-conducting-massive-cyber-theft-campaign-behalf-islamic,https://www.wired.com/story/iran-cyberattacks-us-universities-indictment/,NA,NA,NA,NA,NA,NA,Kinetic conflict (MID hostility >= 4)
199,365369,Russia,Ukraine,Duke Series_B,2013-02-01T00:00:00Z,2015-09-17T00:00:00Z,3,2,365,3,0,1,0,0,2,2,11,0,0,Access networks of geopolitical interest to Russia,https://arstechnica.com/information-technology/2015/09/seven-years-of-malware-linked-to-russian-state-backed-cyberespionage/,https://us-east-1-02810029-inspect.menlosecurity.com/safeview-fileserv/tc_download/2f9f8f25dd54f65621a59b7b22a90d396a9cb0cb29bc7a8f48593714f326e6e5/?&cid=NEFD29825D346_&rid=4f66dcb82e86faf677068f01a97a9e37&file_url=https%3A%2F%2Fblog-assets.f-secure.com%2Fwp-content%2Fuploads%2F2020%2F03%2F18122307%2FF-Secure_Dukes_Whitepaper.pdf&type=original,NA,NA,NA,NA,NA,NA,Kinetic conflict (MID hostility >= 4)
200,365369,Russia,Ukraine,CyberBerkut UKR Gov Site Hack,2014-01-01T00:00:00Z,2014-12-31T00:00:00Z,2,2,365,1,0,1,0,0,2,1,11,0,0,DDoS against UKR gov sites,https://www.wired.com/story/russian-hackers-attack-ukraine/,NA,NA,NA,NA,NA,NA,NA,Kinetic conflict (MID hostility >= 4)
201,365369,Russia,Ukraine,CyberBerkut Telecom disruption,2014-03-01T00:00:00Z,2014-03-15T00:00:00Z,2,1,365,4,0,1,0,0,2,1,3,1,0,Botnet attacks mobile phone network,https://www.wired.com/story/russian-hackers-attack-ukraine/,NA,NA,NA,NA,NA,NA,NA,Kinetic conflict (MID hostility >= 4)
202,365369,Russia,Ukraine,CyberBerkut Ukraine Election Intrusion,2014-05-22T00:00:00Z,2014-05-26T00:00:00Z,2,2,365,1,1,1,0,0,2,1,11,0,0,Delegitimacy the Ukrainian election,https://www.wired.com/story/russian-hackers-attack-ukraine/,NA,NA,NA,NA,NA,NA,NA,Kinetic conflict (MID hostility >= 4)
203,365369,Russia,Ukraine,Operation Pawn Storm_B,2014-06-01T00:00:00Z,2015-02-01T00:00:00Z,3,2,365,2,1,1,0,0,3,2,11,0,0,Backdoor intrusion in to several government networks via spear phishing,https://blog.trendmicro.com/trendlabs-security-intelligence/update-pawn-storm-new-targets-politically-motivated-campaigns/,https://fcw.com/articles/2017/04/25/critical-trendmicro-pawn-storm.aspx,NA,NA,NA,NA,NA,NA,Kinetic conflict (MID hostility >= 4)
204,365369,Russia,Ukraine,CyberBerkut UKR MOD DDoS,2014-10-01T00:00:00Z,2014-10-30T00:00:00Z,2,3,365,1,1,1,0,0,2,1,11,0,0,Disrupt Ukrainian MOD,https://www.wired.com/story/russian-hackers-attack-ukraine/,NA,NA,NA,NA,NA,NA,NA,Kinetic conflict (MID hostility >= 4)
205,365369,Russia,Ukraine,Fancy Bear (also APT 28 linked),2014-10-06T00:00:00Z,2016-07-15T00:00:00Z,3,3,365,4,0,1,0,0,4,2,11,0,0,"Fancy Bear Android Malware used to locate Ukrainian army locations and strategies, allowing for widespread artillery destruction",https://www.crowdstrike.com/blog/danger-close-fancy-bear-tracking-ukrainian-field-artillery-units/,https://www.reuters.com/article/us-cyber-ukraine/russian-hackers-tracked-ukrainian-artillery-units-using-android-implant-report-idUSKBN14B0CU,NA,NA,NA,NA,NA,NA,Kinetic conflict (MID hostility >= 4)
206,365369,Russia,Ukraine,CyberBerkut Billboard Hack,2014-11-20T00:00:00Z,2014-11-21T00:00:00Z,1,1,365,1,1,1,0,0,2,1,11,0,0,Smear Ukrainian Politicans,https://www.wired.com/story/russian-hackers-attack-ukraine/,NA,NA,NA,NA,NA,NA,NA,Kinetic conflict (MID hostility >= 4)
227,365372,Russia,Georgia,Georgia GeoPol Attack,2007-01-01T00:00:00Z,2016-07-15T00:00:00Z,3,2,365,3,0,1,0,0,4,2,11,0,0,Access networks of geopolitical interest to Russia,https://www.lawfareblog.com/russian-apt28,https://www.fireeye.com/content/dam/fireeye-www/global/en/current-threats/pdfs/rpt-apt28.pdf,NA,NA,NA,NA,NA,NA,Kinetic conflict (MID hostility >= 4)
228,365372,Russia,Georgia,Duke Series_C,2008-04-08T00:00:00Z,2015-09-17T00:00:00Z,3,2,365,3,0,1,0,0,3,2,11,0,0,Access networks of geopolitical interest to Russia,https://www.f-secure.com/documents/996508/1030745/dukes_whitepaper.pdf,NA,NA,NA,NA,NA,NA,NA,Kinetic conflict (MID hostility >= 4)
229,365372,Russia,Georgia,Before the gunfire,2008-08-04T00:00:00Z,2008-08-06T00:00:00Z,2,2,365,1,0,1,0,0,2,1,11,0,0,Widespread DDoS during the conventional Russian invasion of Georgia in August 2008,https://www.nytimes.com/2008/08/13/technology/13cyber.html?mtrref=www.google.com&gwh=72C72A75630F56F505CD560D4ADD0DDD&gwt=pay,https://www.afcea.org/committees/cyber/documents/therusso-georgianwar2008.pdf,NA,NA,NA,NA,NA,NA,Kinetic conflict (MID hostility >= 4)
230,365372,Russia,Georgia,Osinform,2008-08-04T00:00:00Z,2008-08-04T00:00:00Z,2,2,372,1,0,0,0,0,2,1,11,0,0,Retailation against the Russian hackers by Georgia and foreign operatives . .,https://www.zdnet.com/article/coordinated-russia-vs-georgia-cyber-attack-in-progress/,http://www.ismlab.usf.edu/isec/files/Georgia-Cyber-Attack-NATO-Aug-2008.pdf,NA,NA,NA,NA,NA,NA,ACD + kinetic conflict
231,365372,Russia,Georgia,VoiP/Telecom DDoS,2008-08-04T00:00:00Z,2008-08-08T00:00:00Z,2,1,365,4,0,1,0,0,2,1,3,1,0,"Botnet that denied service of Georgia's largest telecom company, effectively knocking out civilian communications",https://bits.blogs.nytimes.com/2008/08/11/georgia-takes-a-beating-in-the-cyberwar-with-russia/?mtrref=www.google.com&gwh=1FC43D78E3F0FFF830013BF6E3AA01AA&gwt=pay,https://www.wired.com/2008/08/georgia-under-o/,NA,NA,NA,NA,NA,NA,Kinetic conflict (MID hostility >= 4)
232,365372,Russia,Georgia,Russo-Georgia Cyber Actions,2008-08-05T00:00:00Z,2016-08-05T00:00:00Z,1,2,365,1,1,1,0,0,2,1,11,0,0,Website Defacement during conventional campaign,https://nakedsecurity.sophos.com/2008/08/12/conflict-between-russia-and-georgia-turns-to-cyber-warfare/,https://www.zdnet.com/article/coordinated-russia-vs-georgia-cyber-attack-in-progress/,NA,NA,NA,NA,NA,NA,Kinetic conflict (MID hostility >= 4)
233,365372,Russia,Georgia,Georbot,2011-03-01T00:00:00Z,2012-03-23T00:00:00Z,2,2,365,2,1,1,0,0,3,2,11,0,0,Georbot spyware campaign,https://www.infosecurity-magazine.com/news/georgia-russia-responsible-for-georbot-cyber-spy/,https://www.securityweek.com/new-botnet-discovered-targeting-georgia-nationals,NA,NA,NA,NA,NA,NA,Kinetic conflict (MID hostility >= 4)
293,652666,Syria,Israel,Operation Orchard 9/6/20079/7/2007,2007-09-06T00:00:00Z,2007-09-07T00:00:00Z,3,3,666,3,0,1,1,0,4,4,13,0,0,"Theft of Syrian air defense secrets, allowing for Operation Orchard success",https://www.wired.com/2009/11/mossad-hack/,https://special-ops.org/43155/operation-orchard-bombing-of-the-syrian-nuclear-reactor/,NA,NA,NA,NA,NA,NA,Kinetic conflict (MID hostility >= 4)
337,710816,China,Vietnam,Ocean Lotus/APT 32,2012-04-01T00:00:00Z,2014-05-01T00:00:00Z,4.3,2,816,4,0,1,0,0,4,4,11,1,0,Vietnamese APT group emerges to steal data and respond to China's actions in the SCS .,https://www.cyberscoop.com/apt32-vietnam-cylance-ocean-lotus-hacking-tools/,https://www.scmagazineuk.com/ocean-lotus-group-apt-32-identified-vietnamese-apt-group/article/1474614,NA,NA,NA,NA,NA,NA,Kinetic conflict (MID hostility >= 4)
338,710816,China,Vietnam,South China Sea #1,2013-09-01T00:00:00Z,2014-12-01T00:00:00Z,3,2,710,2,0,1,0,0,3,1,11,1,0,"In 2013 and 2014, espionage against Vietnam's defense, energy and government.",https://www.securityweek.com/goblin-panda-targets-vietnam-again,https://www.crowdstrike.com/blog/meet-crowdstrikes-adversary-of-the-month-for-august-goblin-panda/,NA,NA,NA,NA,NA,NA,Kinetic conflict (MID hostility >= 4)
