Country Name,Country Code,Series Name,Series Code,2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Guatemala,GTM,Individuals using the Internet (% of population),IT.NET.USER.ZS,7.3,8.3,9.3,10.5,12.3,16,19.7,23.4,28.8059,34.5093,37.9,41.5,44.401,47.5123
Guinea,GIN,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.780025,0.92,0.94,1,2,3.1,4.5,6.4,9.2,13.1,18.7,21.83,22.6255,23.4499
Guinea-Bissau,GNB,Individuals using the Internet (% of population),IT.NET.USER.ZS,2.2063,2.35489,2.30328,2.45,2.672,2.89399,3.1,3.32,6.1,13.8,14.8,15.7,17.9215,20.4573
Guyana,GUY,Individuals using the Internet (% of population),IT.NET.USER.ZS,13.8,18.2,23.9,29.9,30,30.5,31,32,34,35.66,42.7,48.5989,55.3127,62.954
Haiti,HTI,Individuals using the Internet (% of population),IT.NET.USER.ZS,7.2,7.6,8.1,8.37,9,9.8,10.6,11.4,14.2,22.8,27.2,32.4736,39.262,..
Heavily indebted poor countries (HIPC),HPC,Individuals using the Internet (% of population),IT.NET.USER.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..
High income,HIC,Individuals using the Internet (% of population),IT.NET.USER.ZS,61.3,64,66.4,69,70.4,73.7,75.1,77,78.3,82.5,84.2,86.3,87.5,88.4
Honduras,HND,Individuals using the Internet (% of population),IT.NET.USER.ZS,9.4,9.6,9.8,11.09,15.9,18.12,17.8,23,27.1395,29.5282,31.7358,36.0401,39.3884,45.2483
"Hong Kong SAR, China",HKG,Individuals using the Internet (% of population),IT.NET.USER.ZS,64.8,66.7,69.4,72,72.2,72.9,74.2,79.8663,84.9484,87.4794,89.4159,90.5074,91.7434,92.4131
Hungary,HUN,Individuals using the Internet (% of population),IT.NET.USER.ZS,53.3,61,62,65,68.02,70.58,72.6439,75.6532,72.8347,79.2594,76.7505,76.0744,80.3717,84.7712
IBRD only,IBD,Individuals using the Internet (% of population),IT.NET.USER.ZS,13.7,17.1,20.7,25,28.5,31.5,34,36.4,39.1,43.2,46.6,50.3,56.3,65.4
Iceland,ISL,Individuals using the Internet (% of population),IT.NET.USER.ZS,90.6,91,93,93.39,94.8197,96.2098,96.5468,98.158,98.2,98.24,98.2552,99.011,99.5049,99.5328
